,City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed,Current Discription
0,flinders,57,AU,1626374577,80,57.06,-34.5833,150.8552,1.01,broken clouds
1,mahebourg,75,MU,1626374577,78,71.89,-20.4081,57.7,13.8,light rain
2,tuy hoa,100,VN,1626374455,91,76.08,13.0833,109.3,6.4,overcast clouds
3,jamestown,75,US,1626374558,61,84.18,42.097,-79.2353,8.99,broken clouds
4,sorland,100,NO,1626374578,88,51.87,67.667,12.6934,42.77,light rain
5,rikitea,5,PF,1626374579,73,73.11,-23.1203,-134.9692,9.37,clear sky
6,port alfred,0,ZA,1626374579,56,56.14,-33.5906,26.891,5.73,clear sky
7,yazman,96,PK,1626374579,38,100.31,29.1212,71.7446,7.45,overcast clouds
8,hermanus,0,ZA,1626374580,66,55.9,-34.4187,19.2345,3.94,clear sky
9,busselton,100,AU,1626374580,75,53.1,-33.65,115.3333,14.5,overcast clouds
10,yellowknife,90,CA,1626374376,93,50.56,62.456,-114.3525,4.0,light intensity shower rain
11,butaritari,100,KI,1626374581,76,83.68,3.0707,172.7902,17.07,light rain
12,los llanos de aridane,75,ES,1626374581,83,73.13,28.6585,-17.9182,17.27,broken clouds
13,cape town,0,ZA,1626374535,71,56.12,-33.9258,18.4232,5.75,clear sky
14,punta arenas,90,CL,1626374492,100,37.51,-53.15,-70.9167,4.61,light rain
15,kapaa,75,US,1626374365,75,79.12,22.0752,-159.319,3.0,light rain
16,khatanga,100,RU,1626374583,75,49.51,71.9667,102.5,5.55,overcast clouds
17,komsomolskiy,45,UZ,1626374583,34,79.52,40.4272,71.7189,4.61,scattered clouds
18,kamina,8,CD,1626374584,35,66.45,-8.7386,24.9906,4.23,clear sky
19,palasa,100,IN,1626374584,86,81.5,18.7667,84.4167,5.55,overcast clouds
20,tibiri,20,NE,1626374585,66,86.34,13.5627,7.0485,13.8,few clouds
21,vigrestad,0,NO,1626374585,76,63.9,58.5667,5.7,29.1,clear sky
22,kaitangata,100,NZ,1626374586,82,50.94,-46.2817,169.8464,10.94,light rain
23,bethel,75,US,1626374586,65,90.1,41.3712,-73.414,3.44,broken clouds
24,klaksvik,96,FO,1626374586,98,52.72,62.2266,-6.589,18.37,overcast clouds
25,cambuci,13,BR,1626374587,39,85.44,-21.5753,-41.9111,0.85,few clouds
26,rio branco,40,BR,1626374587,52,92.01,-9.9747,-67.81,6.91,scattered clouds
27,puerto ayora,61,EC,1626374588,87,78.76,-0.7393,-90.3518,5.01,broken clouds
28,georgetown,20,MY,1626374412,86,82.89,5.4112,100.3354,5.01,few clouds
29,faenza,20,IT,1626374423,57,80.19,44.2857,11.8833,4.0,few clouds
30,asino,33,RU,1626374588,95,51.04,56.9979,86.1452,6.73,scattered clouds
31,tessalit,99,ML,1626374373,24,97.14,20.1986,1.0114,6.24,overcast clouds
32,vaini,90,TO,1626374589,94,71.76,-21.2,-175.2,10.36,overcast clouds
33,pisco,90,PE,1626374589,82,65.01,-13.7,-76.2167,9.22,overcast clouds
34,castro,100,BR,1626374590,54,67.96,-24.7911,-50.0119,8.41,overcast clouds
35,albany,67,US,1626374448,68,87.62,42.6001,-73.9662,4.0,broken clouds
36,hobart,95,AU,1626374590,94,48.11,-42.8794,147.3294,5.75,overcast clouds
37,lulea,0,SE,1626374591,64,69.87,65.5842,22.1547,6.91,clear sky
38,qaanaaq,100,GL,1626374591,84,36.97,77.484,-69.3632,8.34,overcast clouds
39,cayenne,75,GF,1626374592,75,84.24,4.9333,-52.3333,1.99,broken clouds
40,victoria,56,HK,1626374319,80,87.33,22.2855,114.1577,5.99,broken clouds
41,lompoc,1,US,1626374592,70,81.79,34.6391,-120.4579,8.05,clear sky
42,baykit,93,RU,1626374593,83,63.79,61.67,96.37,2.62,overcast clouds
43,esperance,100,AU,1626374593,83,51.64,-33.8667,121.9,26.89,light rain
44,kodiak,90,US,1626374313,72,56.71,57.79,-152.4072,3.44,overcast clouds
45,acari,54,PE,1626374594,63,70.14,-15.4311,-74.6158,8.43,broken clouds
46,floriano,50,BR,1626374594,24,97.47,-6.7669,-43.0225,8.57,scattered clouds
47,mataura,100,NZ,1626374594,96,41.49,-46.1927,168.8643,6.69,overcast clouds
48,sabang,97,ID,1626374595,73,82.45,5.8933,95.3214,9.31,overcast clouds
49,nome,90,US,1626374595,87,51.17,64.5011,-165.4064,11.5,overcast clouds
50,lagoa,5,PT,1626374596,81,70.57,39.05,-27.9833,7.52,clear sky
51,ojinaga,1,MX,1626374596,33,93.58,29.5667,-104.4167,0.0,clear sky
52,vostok,100,RU,1626374597,91,66.76,46.4856,135.8833,3.47,overcast clouds
53,iqaluit,75,CA,1626374597,66,55.13,63.7506,-68.5145,5.01,broken clouds
54,geraldton,75,AU,1626374597,87,54.01,-28.7667,114.6,10.36,broken clouds
55,bengkulu,100,ID,1626374598,83,76.01,-3.8004,102.2655,3.49,overcast clouds
56,necochea,0,AR,1626374598,55,54.03,-38.5473,-58.7368,14.81,clear sky
